TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"

KILL FOR LOVE, to;USA AND CANADA;YES;FENIX PICTURES;0 609408 422379;;DVD;;500,5;;Romance/Thriller/Mystery;Kill For Love, to;Sirbu, Irena/Roslender, Trilin/Beruschi, Enrico/Carat, Fabienne/Carletta, William;Pallardy, Jean-Marie;;Full;;30;1;19,98;;;;;2011;11/12/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16:09;NA;French;No;Yes;97min;;Yes;NN;;;;;;The Talented Mr. Ripley, Clue, Gosford Park;http://www.privatecinema.info/#!kill-for-love--to/c14vh;"- I wouldn't have missed 90 minutes with Fabienne Carat
 - The last masterpiece of Jean-Marie Pallardy can not be refused. It must be recognized genius when we see it. A worthy heir of Godard for the total rejection of convention, and experimentation in all aspects of filmmaking. Kill for Love is a jewel.
 - On par with Tommy Wisseau's ""The Room"" in terms of camp and flat-out fun";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";Gaspard de la Roche, a man of inestimable wealth, was found dead in his castle, leaving a huge legacy of 50 million. But is it an accident or murder? No one knows. His beautiful young woman, single claimant, in turn, is in great danger. Someone appears desperate to seize the property of the deceased millionaire.;HD;1 M;Jean-Marie Pallardy;Jean-Marie Pallardy;Bruno Zincone;Sergio Zanetti;Jean-Michel Heudelot;KILL FOR LOVE. LLC;PG13

Purple Mind;USA AND CANADA;YES;FENIX PICTURES;0 609408 422546;;DVD;;500,52;;PsychoDrama, Family-War, Mental Health;Purple Mind;Bridges, Emily/Shepherd, Will/Fleming, Brighid/Brunish, Corey/White, Stephen/Johnson, Catherine;Stacey, Eric;;Full;;30;1;19,98;;;;;2010;11/26/13;NN;;;;;Amaray;1;NTSC;Stereo & Surround;Color;Widescreen;2.35:1;NA;ENGLISH;No;No;88 minutes;;Yes;NN;;;;;;Comp. Titles: Stop Loss, In The Valley of Elah, Facing the Giants, Brothers,;http://www.privatecinema.info/#!purple-mind/c13ke;"Purple Mind: Inspired by Winter Soldier testimony to Congress, Encourages veterans to reach out for help in dealing with ""invisible wounds,"" helps others understand the difficulties faced by soldiers with PTSD";"Social Media promotion via Facebook, Theatrical fund-raising screenings for Iraq Veterans Against the War, Supported by National Peace Groups.-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";Combat veteran Roy Matthews returns from one war in Iraq only to fight another war at home, a war against the PTSD which threatens to destroy both Roy and his family.;HD;1 M;Eric G. Stacey;Eric G. Stacey;Eric G. Stacey;Eric Stacey;James Thompson;Landfall Productions Inc.;PG13

Jackin & Joyridin;USA AND CANADA;YES;FENIX PICTURES;0 609408 422553;;DVD;;500,53;; Comedy, urban, action, thriller;Jackin & Joyridin;Washington, Nipsey;Nelson, B.S./Dailey, G.W.;;Full;;30;1;19,98;;;;;2013;12/10/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Full Screen;4:03:00;NA;English;No;No;70 Minutes;;yes;NN;;;;;;Jigga Jones, Jackin 101, Snow on tha Bluff;http://www.privatecinema.info/#!jackin--joyridin/c1pjb;Family-friendly emotional story. Themes based around the importance of family. Set during the American Civil Rights era in the US South.;"Social Media promotion via Facebook. Radio interviews with various shows (online and traditional radio). Standup Comedy club tour with principal actor prior to feature release. Will leverage large online fanbase to hype up release.
 -Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows";Jigga Jones is famous on the internet for showing off high tech crime and how to get away with it. This is the collection of videos that he never intended the public to see. Fueled by alcohol and profanity this video gives you a “behind the scenes” ride-a-long with the criminal underworld.;SD;1 M;Michael Bondi;Nipsey Tyrone Washington;B.S. Nelson, G.W. Dailey;B.S. Nelson, G.W. Dailey;Jack Booted Thug;Handheld Productions;PG13

Vessel, the ;USA AND CANADA;YES;FENIX PICTURES;0 609408 422638;;DVD;;500,54;;Horror / Thriller / Slasher;Vessel, the ;Brumbaugh, Stu / O'Day, Mick / Leonard, Daisy / Holgren, John / Barrett, Randy / Hewett, Micah / Herrera, Dan / Douglas, Lucian;Tychon, Terry;;Full;;30;1;19,98;;;;;2010;1/28/14;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;1.85:1;NA;English;No;No;92 Minutes;;Yes;NN;;;;;;Hostel / American Horror Story / Shutter Island / Hostage / Saw/ Gothika / The Ward / Don't say a word;http://www.privatecinema.info/#!vessel-the/c107p;The Vessel was filmed on location in one of the most haunted jails in the northwest.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";"When a crack team of paranormal investigators lead by the Samsa foundation; enters an abandoned turn-of-the-century 
 prison looking for answers to a two decade old murder of a wrongly executed man. The team, lead by Daniel Samsa 
 (John Holgren) commissions the executed mans daughter Carrie (Daisy Leonard) and an ex-con; Hector (Dan Herrera) to summon the spirit of the executed man. Along with the help of a psychic drifter named Jason Brooks (Stu Brumbaugh) and his intuitive friend Frank (Mick O’Day) the team soon learns that the mystery they're pursuing isn't nearly as horrifying as the secrets hidden inside the jail itself. Once they find themselves and the prison on full lock-down, they must try and escape or come face to face with the terrible evil locked within.";HD;1 M;Keri Langille, Stu Brumbaugh;Stu Brumbaugh, Joel Corda;Stu Brumbaugh, Rory Schulte;Gianny Trutmann;James Bass;Yellow Wood Films LLC;R

Testing Life;USA AND CANADA;YES;FENIX PICTURES;0 609408 422645;;DVD;;500,55;;Family/Social/ Drama;Testing Life;Von Petzholdt,Carolin / A.Kratke,Olaf / Berg,Natascha;Von Petzholdt,Carolin;;Full;;30;1;19,98;;;;;2013;2/11/14;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16:09;NA;GERMAN;YES;YES;72 Minutes;;yes;NN;;;;;;One flew over the cuckoo's nest, Mulholland Drive, Midnight Cowboy;http://www.privatecinema.info/#!testing-life/cmyz;"WINNER – Award of Excellence ,Best Screenplay, and Best Production Design - Los Angeles Movie Awards  
 WINNER – Award of Merit - The Indie Fest 
 WINNER – Best Narrative Feature - Los Angeles Cinema Festival of Hollywood
 WINNER – Best Narrative Feature and Best Director-- American International Film Festival 
 WINNER – Award of Excellence - Canada International Film Festival
 OFFICIAL SELECTION of the NEW YORK CITY INTERNATIONAL FILM FESTIVAL ";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Theatrical release in 10 theaters : San Diego, LA , NY";Inspired by a true story, TESTING LIFE is about twenty-five year old Ana Seuss. Full of life but living on social welfare and part-time work as a waitress, Ana feels that her dream of going to Hollywood and becoming an actress is slowly fading away.She then makes a drastic decision to become a human lab rat for a Berlin medical research facility. Selling her body to science and testing painkillers for cancer patients is the only option she sees to making her dreams come true. The decision soon becomes painful and unfulfilling, but in spite of her circumstances, Ana somehow manages to find her way to Hollywood.;HD;1 M;MILA BECK ;Von Petzholdt,Carolin;Von Petzholdt,Carolin;JEFF DOLEN;CHRIST LINKE;UNICMATRIX PRODUCTIONS ;PG13

MARGARINE WARS;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422492;;DVD;;500,56;;Comedy/Drama/Romance;MARGARINE WARS;Roberts, Doris/Loggiapazmino, Robert/Wallace, Dee/Muth, Ellen;Rich, David;;Full;;30;1;19,98;;;;;2012;2/25/14;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x9;NA;English;No;No;98 min;;Yes;NN;;;;;;Almost Famous, That Seventies Show, Taking Woodstock;http://www.privatecinema.info/#!margarine-wars/c197f;Stars Doris Roberts (Everybody Loves Raymond) and Robert Loggia (Scarface/Independence Day). Set in the 60's (very popular era due to Mad Men). At first, you're not quite sure what this is... margarine wars? What the heck is that? But then you watch it, and you can't help laughing... top notch comedy cast.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Theatrical release 25 theaters: LA , NY and Texas";"60's Psychedelic Counterculture clash during the ""Summer of Love,"" when an aspiring hippie Afro-Jew from New York dupes the son of a Swedish dairy farmer into smuggling illegal margarine into butter rich Wisconsin.";HD;1 M;Lee Rudnicki, Tammy McDaniel, Rusty Case, Michael R. Cannata;Scott Walker, Joe Holt, David Rich;Tom Phillips;Bryan Papierski;James Patterson, Latch Key Kid;DB Rich Productions;PG-13

DON OF DONS, the ;USA AND CANADA;YES;FENIX PICTURES;0 609408 422621;;DVD;;500,57;;ACTION;DON OF DONS, the ;RABIE,CAMERON / BROWN, TREMAIN / SMITH, TYRONE / GALARCE, ESTEBAN;ESCANDON, ROBERT J.;;Full;;30;1;19,98;;;;;2012;3/11/14;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16:09;NA;English;No;No;72 Min;;Yes;NN;;;;;;Shottas by Cess Silvera, New Jack City by Mario Van Peebles and City of God by Katia Lund, Fernando Meirelles;http://www.privatecinema.info/#!don-of-dons/ct3g;Some selling points of Don of Dons are, the film was shot entirely in Miami using real gangs with minimal actors. The film was shot many times on locations using unaltered environments in its presentation and very little set up to the events in the film. the film is Based on actual events and real experiences.;-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published;A forced love story with a lot of action. Some men will push you until you break. Will you go the extra mile?;HD;1M ;Tremain Brown ;Tremain Brown ;ASHLEY C. ESCANDON;"ROBERT J.
ESCANDON AND JACOB BACALLAO";CARNIVAL WASTE;MasterFlow Productions and Stained Vision Pictures and UpDeh House Production;R

Hangman;USA AND CANADA;YES;FENIX PICTURES;0 609408 422386;;DVD;;500,58;;Horror/Thriller;Hangman;Holmes, Matthew Currie/Gross, Amber/Mond, Julie/Hoffman, Chris/Cousins, Christopher/George, Nick W./Shangraw, Howard/Tahoe, Peter;Battersby, Bradley;;Full;;30;1;19,98;;;;;2009;3/25/14;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16:09;NA;English;No;No;88 Mins;;YES;NN;;;;;;The Shining, Friday the 13th, The Hills Have Eyes, Deliverance, Cabin Fever;http://www.privatecinema.info/#!hangman/c1wwd;"-Written and Produced by Bradley Battersby, who is known for ""Red Letters"", featuring Jeremy Piven, Fairuza Balk, Ernie Hudson and starring Peter Coyote.
 -Produced by Michael Z. Gordon (""Pulp Fiction"", ""The Outsiders"", ""Machete"").
 -Starring Matthew Currie Holmes (""Firewall"", ""Wrong Turn 2: Dead End"").";-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published;Two Iraq war vets Nick and Lenny return to the hometown of their ex girlfriends to see if they can rekindle the flames. What should be a little R&R in the woods slowly turns into Murder & Mayhem, when they take off with the girls to an abandoned cabin on their closed Alma Mater campus. There they fall prey to a deadly game of Hangman. This one comes complete with a real noose for the losers. Lust soon gives way to suspicion and fear as they turn on each other to survive. Only the Hangman knows who will win this game;HD;1.4 M;REINHARD SCHREINER;TOM HUGHES AND BRADLEY BATTERSBY;RYAN ROWE;BRADLEY BATTERSBY;HERMAN BEEFTINK;MINGLEWOOD PRODUCTIONS;PG13

Caution to the Wind;USA AND CANADA;YES;FENIX PICTURES;0 609408 422461;;DVD;;500,59;;Adventure/Drama/Romance;Caution to the Wind;Brown, Tabitha/Hebner, Joel/LaFramboise, Adam/Williams, Garrett;Herman, Douglas;;Full;;30;1;19,98;;;;;2010;4/8/14;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16:09;NA;English;No;No;90min;;YES;NN;;;;;;Easy Rider, Road Trip, Thelma and Louise;http://www.privatecinema.info/#!caution-to-the-wind/c24on;Shot on location on Route 66. Has a nostalgic feel to the 60's and 70's era. Provides a glimpse into American History during the Great Depression.;-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - 3 theaters in LA and 2 in Vegas for 7 seven days;When a trio of young misfits take a classic car called The Yellow Submarine to Las Vegas along old California Route 66, anything can happen and does. Starry-eyed actress Veronica Page has begged a ride to Vegas together with an old boyfriend and a hotheaded Norwegian named Eric, to audition for a huge role in an upcoming, big-budget movie production. A series of events— and bizarre hitchhikers– sends the trio deep into the desert before becoming sidetracked along the Colorado River.;HD;1M;Tabitha Brown;Anna Panici;Jessica Bolton;Kyle Safieh;Yves Vincent;DOUGLAS HERMAN. LLC;PG13

STEALING ROSES;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422478;;DVD;;500,6;;Comedy, Romance, Drama;Stealing Roses;"Heard, John/Williams, Cindy/
 Famiglietti, Mark/Davis, Josie/
 Davison, Bruce/Sapienza, Al";Johnson, Megan Clare;;Full;;30;1;19,98;;;;;2012;4/22/14;NN;;;;;Amaray;1;NTSC;Surround;Color;Fullscreen;16:09:00;NA;English;No;No;95 min;;YES;NN;;;;;;Steel Magnolias, Bread and Tulips, About Schmidt;http://www.privatecinema.info/#!stealing-roses/c24i6;"Ensemble cast with actors in many well know TV shows and Movies. Official selection from Los Angeles Comedy Festival 2012 and Portland Women's Film Festival 2012. 
2 film festivals. A deep felt romance movie - relevant and timely love story. A timely story about true love and families holding together under tough economic times.

How far would you go to save the one you Love?  Walter (JOHN HEARD – Big, Home Alone), a middle-aged man, down on his luck with no money, feels his back is against a wall with few options when his wife, Rose (CINDY WILLIAMS – American Graffiti, Laverne & Shirley), develops throat cancer. Without adequate funds for medical treatments - too poor for health insurance, too young for Medicare and too “rich” for Medicaid- Walter resorts to drastic measures and decides to rob a bank.  Walter steadily prepares for the big heist as he goes through his checklist for the bank robbery - getaway car, masks, guns – and casing the bank with an unfortunate run-in with the Bank Manager (BRUCE DAVISON – X-Men). When he and Rose get fired from their only house cleaning client (HELENE CARDONA - Chocolat) - Rose decides to become Walter’s partner and ""wingman"" in the bank robbery.  Walter’s son, Johnny (MARK FAMIGLIETTI – Terminator 3: Rise of the Machines), a cop, moves back in with Walter and Rose to keep an eye on his suspicious father. The strained father-son relationship gets tested and reevaluated by Johnny as he struggles to come to terms with his father’s determination and as he learns his own lessons in love when he falls for SALLY (JOSIE DAVIS – Dirty Teacher, Charles in Charge). When Rose turns out to be too ill to partake in the robbery – Walter enlists his eccentric friends (AL SAPIENZA – Sopranos, House of Cards, JUDE CICCOLLELA - 24, VIC POLIZOS – Prizzi’s Honor and JAMES GLEASON- American Dreamz) to help. Walter, Rose and Johnny all struggle in down-to-earth and comical ways as they all come to their own conclusions on what the final decision needs to be in their difficult situation. A story of true love, family bonds and endurance under tough economic times.";Social media promotion on Facebook, Film Website and Twitter. Test theatrical release in major markets. 15 theaters to start with. LA, NY and Dallas Texas;Terrified at the prospect of losing his seriously ill wife, a man plans a bank robbery to pay for her medical treatments with help from his eccentric friends - while his son, a cop, tries to stop him.;HD;3 M;Megan Clare Johnson | Alexia Melocchi and  Yacovlef, Alexandra;Megan Clare Johnson;Darlene Haussmann;Armand Gazarian;John Romant;"Mama Simba Films/
 Little Studio Films";PG13

SHIFTING, the;USA AND CANADA;YES;FENIX PICTURES;0 609408 422485;;DVD;;500,61;;Action/Thriller/Drama;SHIFTING, the;Romanus, Robert/St. John, Eric/Castro, Tonita/Martin, Eddy/Alan, Matthew/Garcia, Cesar/Echavez, Judy;Saldarriage, Julio;;Full;;30;1;19,98;;;;;2013;5/14/14;NN;;;;;Amaray;1;NTSC;Surround 5.1 DOLBY;Color;Widescreen;1.85:1;NA;English;Yes;Yes;91 Min;;YES;NN;;;;;;Crash, Boyz in the Hood;http://www.privatecinema.info/#!shifting/ck55;"Cesar Garcia (Breaking Bad, featured). Judy Echavez (CSI: Miami, featured)
 -Original Idea inspire on the ONE HUNDRED MONKEY THEORY";Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - 3 theaters in LA and 5 in New York for 7 seven days prior to the home entertainment release. Do a very strong follow up on Facebook and Tweeter;Marcela, a young Latina, is forced to run away when her family refuses to believe that she was raped by her cousin. She is grown up now and living in LA with her devoted boyfriend, Manny, who after years in a gang is living a clean life. Her world is ripped to pieces when she sees Joseph, her rapist and a respected city councilman, on the news. When Manny finds out, he attempts to kill Joseph and Marcela has to make a choice: get revenge or forgive the past and begin to heal. This transformative film takes a realistic look at the lives we are given and the choices we make.;HD and 4K;2M; Eddie Rulz;Julio Saldarriaga;Christopher Kroll, Heath Ryan;Carmen Cabana, Alvaro Montoya;Victor Garcia;Filigrana Films;PG13

LIFE IS A CARNIVAL;USA AND CANADA;YES;FENIX PICTURES;0 609408 422331;;DVD;;500,62;;Comedy/Romance;LIFE IS A CARNIVAL;Sbrighi, Samuele/Maggio', Piero/Ceracchi, Lucia/Enrichi, Barbara;Sbrighi, Samuele;;Full;;30;1;19,98;;;;;2012;5/28/14;NN;;;;;Amaray;1;NTSC;Surround 5.1 DOLBY;COLOR;Fullscreen;4:03;NA;ITALIAN;Yes;YES;90 MINUTES;;Yes;NN;;;;;;50 First Dates, Mama Mia, THREESOME, 7 DAYS IN HAVANA;http://www.privatecinema.info/#!life-is-a-carnival/c11oq;"sound track, location, italian style in Cuba
 -Location: HAVANA/CUBA, Story: Romantic and funny, Cutting and editing: SIMONA PAGGI (Oscar Candidation for ""La vita è bella"" (LIFE IS BEAUTIFUL) di Roberto Benigni)";Features world famous song LIFE IS CARNIVAL, Italian movie in Cuba and in USA there are a lot of cuban and soud american people, original italian comedy. Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - 3 theaters in LA and 5 theaters in NY and 2 in Florida prior to release in hom entertainment. Do facebook and tweeter follow up with audience;Six Incredible and dynamic actors, that has brought this project cinematographic, into something very unique and original. Even thou each charters has a very wild and unchallenging roles to deal with, their talents was in how they were able to separates the laughter’s from the cries to then suddenly breath again an atmosphere of full of romance where dreams magically can come true.;HD;2M;SAMUELE SBRIGHI;" Julia Weise  

";SIMONA PAGGI;SAMUELE SBRIGHI;DANIELE CESTANA;LA FAMIGLIA FILM;PG

Duck Hunter, the;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422522;;DVD;;500,63;;War / Drama / Historical / Relationshipl;Duck Hunter, the;"Mazzoli,Federico Botti,Francesca Paltrinieri,Giorgio Lodi,Paolo
 Ascari,Anna
 Tonini,Simone 
 Bortolazzi, Libero Bianchi,Paola";Veronesi, Egidio;;Full;;30;1;19,98;;;;;2013;6/10/14;NN;;;;;Amaray;1;NTSC;Stereo;COLOR;Widscreen;16:09;NA;Italian;No;YES;90 Mins;;Yes;NN;;;;;;The Pianist, Hurt Lucker, Saving Private Ryan;http://www.privatecinema.info/#!the-duck-hunter/ce5u;"Won over 25 festival awards including : Queens World Film Festival, Golden Elepahant World, Flower Film Festival, Ajaccio Film Festival, SHF Singapore International Film Festival 
Amazing: Almost 25 film festival awards.
-made in Europe: may qualify for releasing help in Europe, Asia, and 
 South America from Europa Cinemas (http://www.europa-cinemas.org)";-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - Limited Theatrical release 5 theaters in LA and 2 in NY;It’s 1942. In the countryside of Modena, in northern Italy, the story of four friends are intertwined, each of them with their own dream to realize. The story is set at time of second world war and the tragic events of this period will end by sweeping away everyone and everything.Only one of them will realize his dream.;HD;5M;Luca Callori Di Vignale;Egidio Veronesi;Paolo Marzoni, Diego Berre;Alessiio Valori;LUCA CALLORI DI VIGNALE;Joyto Group;PG13

BIRTHDAY;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422560;;DVD;;500,64;;Romance, Erotic;BIRTHDAY;Eleftheriadis, Natalie / Morassi, Kestie / Wilson, Richard / McMahon, Travis / Chapman, Ra / Contouri, Chantal;Harkness, J;;Full;;30;1;19,98;;;;;2011;6/24/14;NN;;;;;Amaray;1;NTSC;Surround;Colour;Widescreen;16x9;NA;English;no;no;100 Minutes;;Yes;NN;;;;;;LOST IN TRANSLATION, AN EDUCATION, BETTY BLUE;http://www.privatecinema.info/#!birthday/c5w;"OFFICIAL SELECTION : IN COMPETITION : Cannes Independent Film Festival
 
 BEST ACTOR AWARD : Cannes Independent Film Festival
 
 OFFICIAL SELECTION: Cinema Des Antipodes, Cannes Film Festival
 
 BEST SCREENPLAY AWARD : Melbourne Underground Film Festival";-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - Limited Theatrical release, 10 theaters in LA;"M is the highest paid professional of the many girls at Scarlet’s, but, even on her 25th birthday, it’s business as usual. M’s trade is sex, but sex doesn’t sell the way it used to; what client’s are searching for, paying for… is love. Instead of celebrating, her day is spent answering the silent prayers of Father Phillip, who has lost his faith an providing counsel to her colleagues, the vivacious Lily and troubled Cindy.Amidst the many dramas that unfold and the demands of the ‘no-nonsense’Scarlet, M’s secret birthday wish goes unanswered, that is, until Joey knocks on her door; a young man, forgotten by the world, who has never learned to love, or even how to kiss. But Joey also has a secret, it’s his Birthday too, and today M might just discover that even the smallest, most unexpected wish can come true. Birthday encompasses lost love, first times, humanity and the discovery of intimacy in surprising and unexpected places.";HD;2.5M;James Harkness;James Harkness;James Harkness;Denson Baker;Ollie Olsen;Flip It Red Entertainment;PG13

Thirty Proof Coil;USA AND CANADA;YES;FENIX PICTURES;0 609408 422577;;DVD;;500,65;;SUSPENSE,HORROR;Thirty Proof Coil;Cooper,Calico/McCullough,Tate S;Schmeckpeper,Will;;Full;;30;1;19,98;;;;;2010;7/8/14;NN;;;;;Amaray;1;NTSC;STEREO;Color;Widescreen;16:09;NA;English;NO;NO;82 min;;YES;NN;;;;;;Black Snake Moan (2006), Cube (1997), Devil (2010);http://www.privatecinema.info/#!thirty-proof-of-coil/czpp;"Starring Calico Cooper, daughter of very famous and acomplished musician Alice Cooper; Brilliant acting in a very challenging role; taught suspense film with frightening twists and turns.";Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - Limited Theatrical release, loyal star following. And strong support from Alice Cooper PR company. Facebook. Tweeter.;A young woman is kidnapped by a mysterious stranger and chained in an eerie, dilapidated barn. Unwilling to play the victim, she plots a daring escape. With thirst and hunger bearing down, her grip on reality loosens. Can she free herself from the chain and the haunting visions? Why is she here? Is that strange presence outside the barn her imagination or the reason for her capture? Thirty Proof Coil, despite its modest budget, leverages brilliant acting, a dramatic location and unabashed enthusiasm to punch viewers right in the nose;HD;1.3 m;Mark Perison;Will Schmeckpeper;Will Schmeckpeper;Chaz Gentry;Nicole Bowman;Experiment Pictures;PG13

5 Minutes;USA AND CANADA;YES;FENIX PICTURES;0 609408 422584;;DVD;;500,66;;Triller, Action, Drama;5 Minutes;Waller,Brian/Michael,Roman/Beckett,Andereas/Hrejsa,Marty;Michale,Roman;;Full;;30;1;19,98;;;;;2012;7/22/14;NN;;;;;Amaray;1;NTSC;STEREO;Color;Widescreen;16:09;NA;English;NO;NO;90 min;;YES;NN;;;;;;Wall Street/ As Good As It Gets/The Aviator;http://www.privatecinema.info/#!5-minutes/cqyt;"Based on actual events. Focusues on Obsessive Compulsive Disorder/ Family/Relationships/Educational. This movie will take audiences on a captivating, compelling and 
 intensely dramatic journey filled with intrigue, suspense and loads of 
 'real life' scenarios which will rivet viewers to their seats.";Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - Limited Theatrical release, 10 theaters in LA and 5 in New York . Social Media promotion (Facebook), Educational, Awareness;"John's life is plagued by loss, guilt and grief as he attempts to cope 
 with the untimely deaths of both his mother and wife. John's rigid, 
 disciplined lifestyle severely affects his relationship with his teenage
 son, Sean who has little appreciation for his father's disorder. 
 Sean's prank of setting his father's clock back 5 Minutes leads to a 
 chain of dramatic, action packed events which culminate in John breaking
 free from his prison of time sensitivity and causing the restoration of
 his relationship with his son";HD;1 M;Roman Michael; Christi Alvarado;Brad Wilhite;Matt Sanders;Moby Gratis, Dexter Story;Kingdom Vision Films;PG13

EMPTY, the ;USA AND CANADA;YES;FENIX PICTURES;0 609408 422515;;DVD;;500,67;;HORROR / DRAMA;EMPTY, the ;Escandon,Robert/Sanchez,Marlyn/Rabie,Cameron/Escandon,Ashley;Escandon,Robert;;Full;;30;1;19,98;;;;;2014;8/12/14;NN;;;;;Amaray;1;NTSC;STEREO;Color;Widscreen;16:09;NA;English;NO;NO;89 min;;YES;NN;;;;;;The Shining, 1408, Inception;http://www.privatecinema.info/#!empty--the-/cwlk;"The Empty was shot entirely in Miami, Florida.
 • The apartment building set of the Empty was built entirely by directors Robert J. Escandon, Ulises Franco, actress Ashley Cortes, co-producer Cameron Rabie and producer/actor Tremain Brown.
 • During a severe storm in Miami, the set of The Empty collapsed pushing the production back 2 months while it was rebuilt
 This movie will take audiences on a captivating, compelling and 
 intensely dramatic journey filled with intrigue, suspense and loads of 
 'real life' scenarios which will rivet viewers to their seats.";Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - Limited Theatrical release, 10 theaters in LA 5 in New York .and 4 in Florida. Social Media promotion Facebook, Tweeter, loyal genre following.;"A man destroyed by the death of
 his wife finds refuge in a crumbling
 apartment building where all of his
 darkest fears begin to come to life.
 He must now kill his nightmares
 before they kill him.";HD;1 M;Tremain Brown ;ULISES FRANCO;ROBERT J ESCANDON;ROBERT J ESCANDON;ANDREW J HERRERO;ENTIRE VISION PICTURE;R

